,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
2077,Ulster,Hillary Clinton,NY,181300.0,90169.0,91131.0,9.5,80.4,5.3,0.1,1.9,0.0,141082.0,58918.0,1428.0,30732.0,687.0,12.8,14.0,38.9,18.0,23.7,9.4,10.0,77.8,7.8,2.4,4.4,1.4,6.2,27.6,85617.0,73.8,18.3,7.5,0.4,9.3
2081,Muskegon,Hillary Clinton,MI,171483.0,85094.0,86389.0,5.2,76.9,13.6,0.6,0.5,0.0,129084.0,42829.0,917.0,21291.0,428.0,19.2,27.9,28.3,20.4,22.6,7.3,21.4,85.2,9.2,0.5,1.1,1.1,3.0,21.4,69673.0,84.2,11.0,4.7,0.1,11.9
2087,Tolland,Hillary Clinton,CT,151948.0,76134.0,75814.0,4.9,86.3,2.8,0.0,3.9,0.0,118432.0,79626.0,1920.0,35446.0,923.0,7.0,6.6,41.8,15.8,23.5,9.0,9.9,81.5,6.6,2.1,4.7,0.6,4.4,26.0,80190.0,73.8,20.3,5.7,0.2,6.8
2091,Sumter,Donald Trump,FL,108501.0,55190.0,53311.0,5.7,84.1,8.1,0.3,0.7,0.0,97679.0,50350.0,2179.0,30145.0,1436.0,10.9,28.7,29.3,21.1,29.3,9.8,10.5,75.6,7.2,0.6,1.3,6.7,8.5,25.7,22298.0,79.6,13.4,7.0,0.1,9.0
2097,Porter,Donald Trump,IN,166570.0,81958.0,84612.0,9.2,84.5,3.2,0.2,1.4,0.1,125522.0,63926.0,1956.0,29922.0,745.0,11.6,17.4,35.3,16.6,21.8,11.1,15.3,86.7,5.4,1.5,1.6,1.0,3.8,26.9,78219.0,85.5,10.3,4.0,0.2,7.3
2100,Washington,Donald Trump,WI,132921.0,65880.0,67041.0,2.9,93.6,1.0,0.1,1.0,0.0,100594.0,69237.0,1609.0,33744.0,877.0,5.6,7.4,35.4,14.0,25.1,8.7,16.8,85.5,7.7,0.6,1.7,1.4,3.2,24.7,72365.0,87.7,8.2,4.1,0.1,4.5
2107,Kenosha,Donald Trump,WI,167738.0,82897.0,84841.0,12.4,76.9,7.2,0.3,1.4,0.0,122035.0,54918.0,1305.0,26514.0,573.0,15.2,22.5,32.9,18.0,23.9,9.3,15.8,85.1,8.0,1.0,1.8,1.5,2.6,26.0,79753.0,84.4,11.8,3.6,0.1,9.7
2114,Johnson,Hillary Clinton,IA,139436.0,69350.0,70086.0,5.2,81.1,5.4,0.2,6.0,0.1,102662.0,55700.0,2099.0,31271.0,916.0,17.9,13.6,45.5,18.0,20.9,5.2,10.4,66.9,9.1,6.5,9.3,4.1,4.1,18.3,78838.0,67.0,28.0,4.8,0.2,3.5
2124,Centre,Hillary Clinton,PA,157823.0,82583.0,75240.0,2.7,86.6,3.5,0.2,5.5,0.0,125531.0,52186.0,1466.0,26492.0,628.0,19.3,12.8,44.6,18.4,20.5,7.0,9.5,68.3,9.8,4.5,9.9,3.0,4.6,20.3,75314.0,78.9,16.1,4.9,0.1,5.1
2129,Hendricks,Donald Trump,IN,153435.0,76496.0,76939.0,3.4,86.7,5.7,0.1,2.4,0.0,110052.0,70163.0,1906.0,30364.0,556.0,5.0,5.5,40.0,13.7,25.8,7.9,12.6,88.7,6.5,0.1,0.7,0.5,3.6,25.7,76792.0,83.8,12.2,4.0,0.0,5.3
2132,Norfolk city,Hillary Clinton,VA,245452.0,128079.0,117373.0,7.2,44.1,41.1,0.4,3.3,0.2,187995.0,44480.0,1077.0,24657.0,399.0,21.0,30.3,32.4,21.4,23.4,11.6,11.1,74.1,8.7,4.0,5.2,1.9,6.1,22.1,101764.0,73.3,22.8,3.9,0.1,10.9
2137,Rock,Hillary Clinton,WI,160727.0,78915.0,81812.0,8.1,83.8,3.4,0.2,1.2,0.0,117855.0,50324.0,1116.0,25219.0,513.0,15.0,23.2,30.0,17.5,22.0,9.3,21.2,82.0,10.1,0.5,2.1,1.2,4.1,22.9,75824.0,83.6,11.7,4.5,0.1,8.5
2144,Kanawha,Donald Trump,WV,190781.0,91860.0,98921.0,1.1,88.0,4.4,0.1,1.1,0.0,150439.0,45882.0,1008.0,27642.0,729.0,15.8,24.8,37.9,17.7,26.9,8.2,9.3,79.9,11.7,2.0,2.9,0.7,2.8,21.3,84406.0,75.7,19.9,4.2,0.2,7.0
2149,Richmond,Hillary Clinton,GA,201291.0,97446.0,103845.0,4.5,36.7,54.1,0.3,1.7,0.2,149809.0,37424.0,1318.0,20659.0,571.0,25.2,39.9,29.8,21.6,27.0,8.4,13.1,81.4,10.3,1.8,3.5,1.1,1.9,20.4,76807.0,74.5,21.9,3.4,0.2,12.0
2152,Mesa,Donald Trump,CO,147834.0,73340.0,74494.0,13.9,82.1,0.7,0.4,0.6,0.1,111376.0,49322.0,1601.0,26569.0,701.0,15.6,20.9,32.4,18.1,25.0,12.7,11.9,78.1,10.4,0.5,2.9,2.9,5.1,21.8,67956.0,80.0,13.3,6.3,0.4,8.7
2174,Aiken,Donald Trump,SC,163908.0,79318.0,84590.0,5.3,67.2,24.6,0.2,0.7,0.0,123847.0,45759.0,1313.0,25321.0,585.0,18.1,30.3,34.7,16.2,23.4,10.9,14.8,84.2,10.5,0.1,0.9,1.3,2.9,24.7,69420.0,76.9,17.6,5.2,0.3,9.9
2181,Scott,Donald Trump,MN,137322.0,68449.0,68873.0,4.7,83.3,2.8,0.6,5.9,0.0,92941.0,87794.0,2092.0,36180.0,690.0,5.7,6.6,41.1,14.6,23.8,8.1,12.3,83.9,7.3,1.8,0.9,1.1,5.0,26.4,74498.0,86.6,9.2,4.1,0.1,4.6
2190,Alexandria city,Hillary Clinton,VA,149315.0,72057.0,77258.0,16.6,52.4,20.9,0.1,6.5,0.0,99903.0,89134.0,2597.0,54861.0,1099.0,8.3,12.8,58.1,15.6,17.4,4.0,4.9,58.7,8.5,21.7,3.6,2.5,5.0,30.8,92575.0,70.0,25.3,4.7,0.0,4.5
