,county,lead,state,totalpop,men,women,hispanic,white,black,native,asian,pacific,citizen,income,incomeerr,incomepercap,incomepercaperr,poverty,childpoverty,professional,service,office,construction,production,drive,carpool,transit,walk,othertransp,workathome,meancommute,employed,privatework,publicwork,selfemployed,familywork,unemployment
8038,Grant,Hillary Clinton,NM,29119.0,14383.0,14736.0,49.2,47.6,0.5,0.7,0.1,0.0,22384.0,38311.0,2093.0,23011.0,1917.0,20.8,31.1,33.7,21.2,22.4,15.7,7.0,80.2,10.0,0.4,3.1,0.5,5.8,18.0,10585.0,68.9,23.5,7.0,0.6,9.7
8059,Montezuma,Donald Trump,CO,25700.0,12729.0,12971.0,12.1,73.5,0.1,11.3,0.2,0.0,19501.0,43553.0,2152.0,23470.0,1050.0,17.9,31.3,34.1,20.1,23.7,11.4,10.6,75.9,9.2,0.0,3.9,1.3,9.7,22.3,11075.0,68.0,20.5,10.9,0.7,9.5
8081,Brookings,Donald Trump,SD,33046.0,16834.0,16212.0,2.3,91.2,1.3,0.6,2.9,0.0,25485.0,50082.0,2006.0,25727.0,1634.0,16.3,9.3,34.9,17.4,21.5,10.9,15.3,75.3,9.6,0.4,6.6,3.1,5.0,14.1,19007.0,75.5,18.6,5.6,0.4,3.1
8085,Monroe,Donald Trump,GA,26915.0,13536.0,13379.0,2.2,72.2,23.9,0.1,0.8,0.0,20901.0,48744.0,3540.0,25539.0,4809.0,13.6,12.9,35.2,18.9,22.9,10.8,12.2,85.7,10.1,0.4,1.0,1.0,1.9,25.7,10914.0,73.7,20.2,5.8,0.4,10.5
8088,Schoharie,Donald Trump,NY,31913.0,15946.0,15967.0,3.0,93.6,1.3,0.1,0.8,0.0,25615.0,51195.0,2516.0,25498.0,947.0,12.9,18.5,33.5,18.1,22.9,12.5,13.1,79.4,8.7,1.5,5.5,0.8,4.2,29.7,14179.0,67.3,23.8,8.4,0.5,10.5
8092,Stevens,Donald Trump,WA,43548.0,21895.0,21653.0,3.2,87.2,0.5,4.8,0.6,0.0,33250.0,41978.0,1226.0,22221.0,763.0,18.0,25.0,29.0,17.9,23.9,15.5,13.7,75.2,12.3,0.8,3.5,1.7,6.4,28.1,16259.0,69.1,21.7,8.8,0.4,9.4
8099,Hancock,Donald Trump,WV,30201.0,14616.0,15585.0,1.2,94.6,2.2,0.1,0.2,0.0,23959.0,39959.0,2422.0,23845.0,1218.0,16.2,29.2,27.3,20.3,23.5,9.5,19.4,85.6,8.5,1.4,1.3,1.3,1.8,23.7,13236.0,83.7,13.2,3.0,0.0,7.2
8104,Baker,Donald Trump,FL,27135.0,14277.0,12858.0,2.4,82.0,14.5,0.1,0.6,0.0,20205.0,47121.0,4778.0,20471.0,1495.0,18.1,22.1,29.6,20.4,24.0,11.5,14.5,83.9,11.7,0.1,0.7,0.6,3.0,29.6,10174.0,73.2,22.3,4.4,0.1,8.9
8110,Preston,Donald Trump,WV,33809.0,17419.0,16390.0,1.6,93.0,3.9,0.2,0.2,0.0,26910.0,45064.0,2377.0,21097.0,1365.0,14.6,18.9,26.4,19.3,21.6,16.1,16.6,80.0,13.7,0.3,1.8,0.4,3.9,30.5,13842.0,76.0,18.0,5.8,0.2,7.0
8115,Cass,Donald Trump,NE,25360.0,12729.0,12631.0,2.9,94.6,1.0,0.2,0.6,0.0,18949.0,65619.0,2581.0,30694.0,1169.0,6.2,7.5,32.6,16.3,25.2,12.7,13.2,84.2,9.6,0.1,2.2,0.8,3.1,26.6,13103.0,76.1,17.6,6.1,0.2,3.8
8119,Manistee,Donald Trump,MI,24536.0,12714.0,11822.0,2.8,89.7,2.9,1.9,0.4,0.0,19971.0,41395.0,1590.0,22647.0,961.0,16.9,29.3,27.2,23.4,23.9,10.7,14.7,79.7,10.1,0.7,3.2,1.5,4.9,20.2,9010.0,75.3,16.2,8.0,0.5,11.5
8125,Gallia,Donald Trump,OH,30565.0,14900.0,15665.0,1.2,93.7,2.5,0.2,0.6,0.0,23273.0,37319.0,2432.0,21195.0,1378.0,20.9,28.1,28.4,17.3,23.9,11.0,19.4,85.0,7.8,0.1,3.1,1.1,3.0,26.8,11344.0,81.3,13.1,5.5,0.2,7.5
8130,Otsego,Donald Trump,MI,24141.0,11911.0,12230.0,1.5,95.0,0.4,0.8,0.6,0.0,18551.0,48917.0,2933.0,25743.0,1241.0,13.8,20.7,29.0,18.3,27.7,10.7,14.4,83.3,10.7,0.4,2.1,0.7,2.8,19.9,10733.0,82.2,12.2,5.3,0.3,8.2
8136,Williams,Donald Trump,ND,29619.0,16066.0,13553.0,4.5,86.8,1.8,4.1,0.3,0.1,21893.0,88013.0,5058.0,43946.0,2882.0,10.1,12.6,29.9,13.4,20.0,20.5,16.3,80.9,9.6,0.0,4.7,1.0,3.9,18.2,16193.0,78.3,11.2,10.3,0.2,1.7
8142,Jones,Donald Trump,GA,28738.0,14006.0,14732.0,0.6,72.2,25.6,0.0,0.7,0.0,21530.0,51857.0,3748.0,26005.0,2254.0,16.8,23.6,31.9,14.2,28.0,13.2,12.8,86.9,8.3,0.3,0.9,0.2,3.3,27.3,12176.0,72.8,21.2,6.0,0.1,9.5
8145,Hocking,Donald Trump,OH,28914.0,14521.0,14393.0,0.8,96.7,0.8,0.0,0.3,0.0,22021.0,42170.0,2367.0,21360.0,859.0,17.4,26.2,29.8,19.6,20.8,13.0,16.7,85.7,8.1,0.3,1.8,1.0,3.1,31.2,12199.0,76.7,16.6,6.2,0.6,9.5
8150,Campbell,Donald Trump,TN,40176.0,19455.0,20721.0,1.3,96.7,0.5,0.3,0.3,0.0,31790.0,32028.0,1618.0,18117.0,738.0,23.2,31.4,23.8,18.7,24.3,13.9,19.4,86.6,10.8,0.1,0.5,0.8,1.2,26.5,13897.0,78.0,15.8,6.1,0.0,9.9
8157,Gladwin,Donald Trump,MI,25501.0,12818.0,12683.0,1.3,96.5,0.4,0.5,0.4,0.0,20451.0,38021.0,1449.0,21234.0,681.0,20.7,34.4,25.2,19.6,22.0,14.4,18.8,83.1,8.3,0.5,3.4,1.4,3.3,30.0,8730.0,81.5,11.1,6.6,0.8,11.0
8163,Union,Donald Trump,OR,25745.0,12664.0,13081.0,4.4,89.7,0.6,0.8,1.1,1.0,19523.0,43822.0,2257.0,23764.0,1297.0,18.6,22.9,28.9,20.4,25.4,10.9,14.4,72.6,9.7,0.9,8.1,2.9,5.8,17.2,11024.0,70.1,19.7,9.9,0.4,7.1
8167,Posey,Donald Trump,IN,25567.0,12708.0,12859.0,1.0,96.4,1.3,0.0,0.4,0.0,19656.0,58101.0,3434.0,29821.0,1846.0,11.1,16.9,31.0,15.9,19.9,12.1,21.2,88.8,6.6,0.0,0.8,0.8,3.0,22.8,12101.0,83.2,11.1,5.6,0.0,5.3
8170,McPherson,Donald Trump,KS,29252.0,14511.0,14741.0,3.9,92.2,1.0,0.5,0.7,0.0,22234.0,56128.0,2402.0,28396.0,1206.0,7.2,9.4,36.3,15.8,18.2,9.6,20.1,81.9,9.2,0.1,4.1,1.3,3.4,14.1,15406.0,77.5,12.2,9.9,0.4,3.1
8174,Currituck,Donald Trump,NC,24492.0,12201.0,12291.0,3.5,87.6,6.0,0.6,0.4,0.0,18717.0,60600.0,4375.0,27521.0,1334.0,10.3,13.6,25.7,19.1,26.6,17.9,10.7,84.9,9.5,0.2,1.1,0.9,3.3,35.8,11913.0,76.4,18.5,5.0,0.1,6.6
8177,Murray,Donald Trump,GA,39401.0,19280.0,20121.0,13.9,83.6,0.9,0.0,0.4,0.0,27319.0,35539.0,2859.0,17043.0,710.0,20.0,24.1,19.5,15.3,23.1,11.9,30.3,86.8,9.0,0.2,1.3,1.0,1.7,25.6,16079.0,83.7,10.9,4.5,0.9,11.1
8180,Wyoming,Donald Trump,PA,28147.0,14134.0,14013.0,1.8,95.8,0.7,0.0,0.4,0.0,22138.0,51004.0,2194.0,26087.0,796.0,11.0,18.1,25.8,16.5,24.1,13.7,19.9,82.2,9.0,0.6,2.0,0.8,5.5,26.2,13003.0,85.1,8.3,6.4,0.1,7.6
8185,Jim Wells,Hillary Clinton,TX,41461.0,20450.0,21011.0,79.5,19.0,0.5,0.1,0.4,0.1,28420.0,42986.0,4198.0,21798.0,1756.0,22.3,31.6,28.2,20.5,20.9,18.2,12.2,83.6,11.4,0.0,1.3,1.2,2.5,26.6,16674.0,80.3,12.6,7.1,0.0,6.6
8189,Lumpkin,Donald Trump,GA,30921.0,15176.0,15745.0,4.6,90.9,2.0,0.6,0.3,0.0,24105.0,43804.0,4188.0,21963.0,1345.0,18.8,21.1,31.5,18.7,26.5,9.6,13.6,81.9,8.1,0.0,3.6,1.6,4.7,28.6,14185.0,73.2,17.2,9.1,0.4,8.2
8192,Logan,Donald Trump,WV,35760.0,17612.0,18148.0,0.9,95.8,2.1,0.2,0.4,0.0,28257.0,36763.0,2541.0,20477.0,992.0,19.7,23.8,26.3,19.7,21.1,20.3,12.5,85.2,9.2,0.0,3.7,0.5,1.4,24.9,11765.0,77.8,17.8,4.4,0.0,10.9
8197,Austin,Donald Trump,TX,28886.0,14386.0,14500.0,25.4,63.9,8.7,0.0,0.0,0.0,20047.0,53687.0,3810.0,27658.0,1662.0,11.5,19.2,30.8,17.1,21.0,13.5,17.7,80.6,11.7,0.1,0.9,1.5,5.3,28.2,13483.0,80.4,11.8,7.7,0.1,6.2
8201,Meade,Donald Trump,KY,29098.0,14672.0,14426.0,3.9,88.9,3.7,0.3,0.8,0.0,21511.0,49884.0,1918.0,23473.0,1737.0,16.7,23.5,27.3,16.8,21.0,17.5,17.5,87.6,9.4,0.2,0.5,0.4,2.0,30.7,11311.0,75.2,21.5,3.3,0.0,11.5
8207,Obion,Donald Trump,TN,31129.0,14945.0,16184.0,3.6,84.0,10.4,0.2,0.3,0.0,23823.0,40281.0,1803.0,21829.0,1103.0,20.6,30.1,27.6,19.2,21.8,10.1,21.3,88.3,5.9,0.2,1.5,1.6,2.4,19.9,12572.0,77.0,13.4,9.1,0.4,11.2
8214,Adams,Hillary Clinton,MS,31979.0,16214.0,15765.0,5.9,37.9,55.3,0.0,0.2,0.0,23310.0,28869.0,1872.0,17669.0,1199.0,30.1,51.5,27.4,21.0,25.1,12.1,14.4,87.2,7.5,0.2,0.5,1.3,3.2,19.4,10730.0,76.5,16.8,6.4,0.2,11.3
8221,Meeker,Donald Trump,MN,23129.0,11675.0,11454.0,3.4,94.9,0.3,0.1,0.4,0.1,17031.0,55042.0,2206.0,27313.0,766.0,10.1,12.8,32.2,15.2,18.8,11.6,22.3,82.9,8.3,0.3,3.0,1.2,4.4,25.2,11477.0,80.6,11.4,7.3,0.7,4.7
8230,Russell,Donald Trump,VA,28245.0,13803.0,14442.0,1.1,96.7,1.0,0.0,0.1,0.0,22427.0,35045.0,3038.0,20053.0,1193.0,20.7,26.4,30.8,12.8,24.8,15.8,15.7,87.4,8.0,0.0,1.7,0.4,2.4,27.8,10211.0,76.7,18.2,5.1,0.0,8.0
8235,Teton,Hillary Clinton,WY,22311.0,11537.0,10774.0,15.1,81.2,0.2,0.4,1.9,0.0,16371.0,75325.0,7370.0,44231.0,4473.0,7.4,7.1,39.1,25.7,19.6,9.3,6.3,64.0,7.5,7.8,10.3,4.9,5.5,14.4,14298.0,81.3,11.2,7.5,0.0,2.6
8241,Cowley,Donald Trump,KS,36079.0,18184.0,17895.0,10.0,80.9,2.8,1.8,1.6,0.0,26675.0,43860.0,2337.0,21950.0,815.0,17.6,23.0,27.4,20.4,21.3,12.5,18.5,79.3,12.1,0.0,2.4,1.9,4.3,18.6,15686.0,77.8,16.0,6.0,0.2,7.0
8245,Curry,Donald Trump,OR,22338.0,10878.0,11460.0,6.3,87.5,0.3,1.9,0.6,0.0,18554.0,40884.0,3055.0,24682.0,1236.0,16.6,17.8,32.0,21.3,25.2,13.7,7.8,75.8,8.7,0.0,7.7,1.6,6.2,13.1,7930.0,67.7,19.4,12.9,0.0,11.3
8249,New Kent,Donald Trump,VA,19560.0,10045.0,9515.0,2.4,79.8,12.2,0.8,0.8,0.0,15146.0,73041.0,6494.0,33689.0,2344.0,7.0,11.4,36.1,14.4,25.7,15.5,8.3,80.6,11.0,0.3,0.3,1.2,6.6,33.1,9896.0,74.4,18.2,6.7,0.7,6.1
8254,Ware,Donald Trump,GA,35723.0,17751.0,17972.0,3.6,64.4,29.5,0.5,1.1,0.0,26603.0,34909.0,2982.0,18100.0,883.0,29.2,45.4,30.7,16.8,22.2,12.6,17.7,81.7,10.2,1.5,2.4,1.5,2.7,19.2,13022.0,74.1,18.7,7.3,0.0,7.2
8257,Logan,Donald Trump,IL,29956.0,15194.0,14762.0,4.1,77.2,11.6,0.2,0.9,0.0,23903.0,50539.0,2403.0,21786.0,1811.0,14.2,17.7,31.1,22.0,23.9,7.9,15.1,78.9,11.9,0.8,4.0,1.0,3.5,20.7,10856.0,75.0,17.0,7.9,0.2,7.8
8261,Lyon,Donald Trump,MN,25699.0,12818.0,12881.0,6.3,86.6,2.8,0.5,3.3,0.0,18563.0,51600.0,1294.0,28010.0,1927.0,14.1,20.2,33.2,15.2,21.9,10.8,18.8,75.4,12.4,0.9,3.6,1.7,6.1,14.6,13788.0,79.1,12.1,8.7,0.1,5.3
8270,Salem city,Donald Trump,VA,25165.0,11919.0,13246.0,3.2,85.8,7.6,0.1,2.0,0.0,19711.0,50068.0,3333.0,27560.0,1821.0,11.2,13.0,38.3,17.9,26.5,5.1,12.2,80.8,9.8,1.1,4.2,0.9,3.2,17.8,12506.0,79.8,17.5,2.7,0.0,4.8
8275,Weakley,Donald Trump,TN,34415.0,16743.0,17672.0,2.2,87.1,9.1,0.1,0.1,0.0,27376.0,37037.0,1742.0,19694.0,758.0,19.1,22.6,31.7,16.2,23.0,9.4,19.7,87.2,6.4,0.1,3.7,1.1,1.4,19.9,14342.0,71.5,19.9,8.1,0.4,11.2
8282,Iowa,Hillary Clinton,WI,23769.0,11884.0,11885.0,1.7,96.2,0.4,0.2,0.6,0.0,18012.0,55188.0,2200.0,27664.0,879.0,10.4,11.8,32.4,16.3,23.2,13.4,14.7,76.4,11.1,0.4,4.1,1.7,6.4,26.1,12424.0,76.5,13.7,9.4,0.4,4.7
8289,Stark,Donald Trump,ND,28628.0,14859.0,13769.0,4.4,90.3,1.1,0.9,1.3,0.1,21218.0,72099.0,2915.0,35114.0,1775.0,6.7,4.9,27.7,16.1,23.2,17.5,15.5,82.2,9.6,0.2,2.5,1.0,4.5,17.4,16062.0,77.5,13.6,8.9,0.1,2.8
8295,Cocke,Donald Trump,TN,35321.0,17241.0,18080.0,2.0,93.7,1.5,0.2,0.0,0.0,27863.0,31187.0,2688.0,18691.0,1321.0,26.1,39.9,21.4,24.0,20.9,10.9,22.7,86.4,10.4,0.0,1.0,0.8,1.4,28.2,14071.0,77.4,15.3,7.2,0.1,11.1
8302,Jackson,Donald Trump,WV,29256.0,14506.0,14750.0,0.0,97.4,0.7,0.1,0.2,0.0,22769.0,41314.0,2720.0,23090.0,1485.0,16.4,25.1,32.0,16.5,25.0,13.4,13.2,85.3,9.9,0.3,2.9,0.6,1.0,31.4,11050.0,75.0,19.5,5.4,0.1,6.8
8307,Bradford,Donald Trump,FL,27223.0,15150.0,12073.0,3.8,74.4,19.9,0.1,0.4,0.0,21563.0,41606.0,4845.0,19739.0,1346.0,20.6,24.8,32.8,22.5,22.8,11.1,10.7,84.3,11.0,0.1,2.4,0.4,1.7,31.4,9225.0,73.6,22.3,4.1,0.0,12.4
8313,Union,Donald Trump,SC,28125.0,13467.0,14658.0,1.2,65.6,31.3,0.1,0.0,0.0,21851.0,34033.0,2943.0,19087.0,820.0,20.3,30.4,24.3,15.4,21.4,11.2,27.7,84.8,12.5,0.2,0.8,1.1,0.7,26.5,11086.0,77.0,17.8,4.9,0.3,12.3
8333,Cleburne,Donald Trump,AR,25711.0,12842.0,12869.0,2.4,95.1,0.5,0.5,0.3,0.0,20431.0,42905.0,2785.0,24912.0,1725.0,14.5,22.1,25.9,17.3,23.4,12.6,20.7,81.7,9.6,0.4,1.5,2.5,4.2,24.8,9699.0,75.4,15.3,8.9,0.4,10.2
8341,Union,Donald Trump,GA,21725.0,10648.0,11077.0,2.9,94.3,0.5,0.2,0.8,0.0,17793.0,40799.0,3727.0,21872.0,1385.0,13.5,19.4,28.7,18.9,28.0,15.8,8.7,85.9,8.2,0.0,1.9,0.9,3.1,23.9,7291.0,71.0,18.9,10.1,0.0,13.0
8344,Hardin,Donald Trump,OH,31736.0,15789.0,15947.0,1.5,95.5,0.9,0.0,0.8,0.0,24101.0,42703.0,2098.0,20332.0,1063.0,18.7,26.1,26.5,20.1,20.2,7.2,26.1,81.8,9.1,0.3,2.8,1.3,4.7,23.6,13828.0,81.8,11.8,6.4,0.1,9.6
8349,Knox,Donald Trump,KY,31809.0,15487.0,16322.0,1.1,96.2,1.1,0.4,0.0,0.0,24239.0,26599.0,2214.0,15599.0,1115.0,32.6,48.8,25.8,18.6,25.4,11.1,19.2,85.8,9.5,0.9,1.4,0.2,2.1,20.9,9477.0,77.0,17.9,4.6,0.4,15.7
8355,Fannin,Donald Trump,TX,33748.0,17810.0,15938.0,10.3,79.7,6.8,0.3,0.6,0.1,25298.0,44071.0,2934.0,20545.0,696.0,17.2,22.5,31.5,16.6,22.6,12.9,16.4,81.4,10.4,0.1,1.5,1.4,5.2,29.4,13259.0,73.1,19.8,7.1,0.1,6.7
8359,King George,Donald Trump,VA,24933.0,12506.0,12427.0,4.2,74.0,17.5,0.1,1.3,0.1,18204.0,81688.0,2511.0,34529.0,1685.0,5.5,7.1,41.5,16.3,22.9,10.9,8.4,83.5,9.8,1.2,0.8,1.5,3.2,35.8,12096.0,62.3,33.9,3.7,0.1,7.4
8364,Waushara,Donald Trump,WI,24321.0,12783.0,11538.0,6.2,90.0,1.8,0.5,0.4,0.0,19282.0,45166.0,1581.0,23977.0,926.0,10.3,12.8,24.8,18.6,18.1,14.4,24.0,78.4,12.0,0.5,2.3,1.9,4.9,26.5,10458.0,76.9,14.5,8.2,0.4,7.2
8371,Franklin,Donald Trump,AL,31634.0,15311.0,16323.0,15.7,78.5,4.1,0.7,0.1,0.1,22124.0,35372.0,2437.0,18595.0,975.0,22.5,38.8,21.4,13.6,19.4,12.8,32.8,80.3,13.2,0.2,0.2,4.7,1.4,29.0,12249.0,78.5,14.6,6.9,0.0,9.8
8375,Madison,Donald Trump,GA,28232.0,13938.0,14294.0,4.5,83.9,8.9,0.4,1.2,0.0,20992.0,41912.0,2632.0,20857.0,954.0,17.1,23.0,30.6,15.1,23.0,12.4,18.8,85.3,8.9,0.2,0.5,0.9,4.1,26.8,11393.0,74.1,17.4,8.4,0.1,8.7
8378,Todd,Donald Trump,MN,24466.0,12500.0,11966.0,5.5,91.9,0.3,0.4,0.4,0.0,17968.0,46414.0,1967.0,23808.0,564.0,14.7,23.2,28.4,16.0,18.3,12.8,24.4,75.4,10.7,0.3,4.1,1.7,7.8,23.5,11437.0,76.0,12.1,11.1,0.8,5.1
8387,Graham,Donald Trump,AZ,37407.0,20049.0,17358.0,31.8,51.7,1.9,12.9,0.6,0.1,25820.0,45964.0,2599.0,17481.0,871.0,22.6,29.1,29.8,21.3,20.9,16.1,11.9,76.7,13.5,1.2,2.7,2.2,3.7,21.3,11954.0,71.1,25.0,3.8,0.1,14.1
8391,Hot Spring,Donald Trump,AR,33316.0,17089.0,16227.0,3.1,83.0,11.7,0.6,0.2,0.0,25860.0,40000.0,2603.0,18956.0,1150.0,19.1,27.9,26.5,19.4,22.9,12.9,18.3,83.6,12.3,0.6,1.0,0.7,1.7,26.2,13293.0,75.7,18.7,5.6,0.0,7.6
8399,Copiah,Hillary Clinton,MS,28921.0,13941.0,14980.0,2.8,45.2,50.8,0.0,0.5,0.0,21743.0,35130.0,2141.0,17762.0,1081.0,27.2,41.1,27.2,18.9,22.9,11.3,19.7,82.7,12.8,0.4,1.3,1.4,1.5,29.2,10280.0,79.7,15.1,5.2,0.0,14.3
8406,Oceana,Donald Trump,MI,26229.0,13277.0,12952.0,14.2,82.6,1.2,0.6,0.3,0.0,18972.0,41617.0,1409.0,20234.0,735.0,20.4,31.6,25.5,17.9,18.4,15.0,23.2,76.3,11.2,0.1,4.2,1.5,6.7,22.5,10360.0,78.3,13.2,8.2,0.3,8.7
8412,Clinton,Donald Trump,IN,32835.0,16165.0,16670.0,14.5,83.8,0.7,0.2,0.3,0.1,22754.0,48478.0,2158.0,22337.0,973.0,14.1,21.3,22.8,12.5,19.8,10.0,34.9,79.3,15.1,0.0,1.1,1.6,2.9,23.2,15003.0,87.5,7.5,4.9,0.1,7.3
8415,Morgan,Donald Trump,CO,28359.0,14088.0,14271.0,35.0,60.5,2.5,0.5,0.4,0.0,18225.0,48450.0,2093.0,22101.0,842.0,11.6,16.0,24.0,19.7,19.9,15.6,20.8,73.9,16.6,0.1,4.4,1.0,4.0,17.7,13264.0,74.9,17.5,7.3,0.3,6.2
8437,Fairfax city,Hillary Clinton,VA,23402.0,11482.0,11920.0,16.4,59.8,4.7,0.1,15.4,0.1,15638.0,105297.0,7530.0,45545.0,1801.0,7.0,3.9,51.8,16.4,22.4,6.1,3.3,70.2,8.2,10.7,4.5,0.8,5.5,31.0,12724.0,73.4,21.9,4.5,0.2,5.4
8455,Martin,Donald Trump,NC,23729.0,11186.0,12543.0,3.5,51.9,43.5,0.4,0.2,0.0,18493.0,35080.0,2329.0,19032.0,1130.0,21.3,29.9,29.8,17.2,21.9,11.5,19.6,85.7,10.1,0.1,1.4,0.4,2.2,23.7,9079.0,78.4,15.8,5.7,0.2,14.7
8458,Lawrence,Donald Trump,SD,24645.0,12202.0,12443.0,3.1,91.3,0.4,3.1,0.8,0.0,19670.0,45548.0,2643.0,27083.0,1436.0,13.1,13.4,30.6,22.6,23.8,14.0,9.0,71.4,13.9,0.5,8.0,1.7,4.5,17.4,13004.0,76.0,17.3,6.7,0.0,3.8
8462,Pontotoc,Donald Trump,MS,30517.0,15353.0,15164.0,6.1,77.4,15.1,0.1,0.3,0.0,21734.0,40645.0,1487.0,19695.0,1205.0,16.2,21.4,22.8,10.7,25.7,7.9,32.9,86.6,9.0,0.1,0.7,1.5,2.1,24.1,13476.0,82.9,11.7,5.3,0.1,6.6
8469,Matagorda,Donald Trump,TX,36598.0,18119.0,18479.0,39.9,46.2,9.9,0.4,2.1,0.2,24817.0,40797.0,3834.0,21693.0,1100.0,21.7,35.2,22.5,20.4,23.8,17.3,16.1,80.8,13.7,0.7,2.3,0.5,1.9,23.1,15874.0,77.4,15.6,7.0,0.0,6.4
8473,White,Donald Trump,GA,27791.0,13527.0,14264.0,2.9,92.6,2.7,0.0,0.3,0.0,21502.0,40888.0,2526.0,21718.0,1689.0,19.0,34.4,29.5,16.5,27.3,13.1,13.7,82.4,11.9,0.4,2.0,0.2,3.2,27.4,11029.0,77.4,15.8,6.5,0.3,6.8
8476,Fannin,Donald Trump,GA,23742.0,11531.0,12211.0,2.0,95.4,0.3,0.2,0.5,0.0,19356.0,37049.0,2287.0,20534.0,1255.0,23.1,35.3,25.4,17.0,27.3,14.4,15.7,76.8,13.7,0.0,1.7,2.0,5.8,25.9,8669.0,73.4,14.3,12.0,0.3,12.0
8479,Wabasha,Donald Trump,MN,21381.0,10777.0,10604.0,2.9,95.1,0.1,0.1,0.4,0.0,16388.0,56510.0,1667.0,30468.0,1317.0,7.3,10.1,33.2,15.9,22.0,12.1,16.9,76.4,10.0,2.2,4.6,1.1,5.7,22.8,11221.0,79.5,9.4,10.9,0.2,3.6
8501,San Benito,Hillary Clinton,CA,57557.0,28773.0,28784.0,57.9,36.6,0.7,0.3,2.5,0.1,35185.0,71077.0,2019.0,27239.0,812.0,10.8,14.8,27.3,18.8,23.5,16.2,14.1,78.1,14.6,0.8,1.6,1.5,3.5,31.8,26261.0,76.4,16.3,7.1,0.3,12.2
8506,Lyon,Donald Trump,KS,33462.0,16262.0,17200.0,20.4,72.2,2.3,0.2,2.0,0.0,23553.0,40021.0,2182.0,20943.0,844.0,21.5,25.2,28.0,18.8,21.0,10.8,21.5,77.6,13.6,0.3,4.1,1.5,2.8,17.0,16784.0,75.0,19.8,5.2,0.1,7.2
8510,Juneau,Donald Trump,WI,26494.0,14018.0,12476.0,2.9,92.1,2.3,1.5,0.4,0.0,20828.0,44961.0,2192.0,22363.0,717.0,14.3,19.8,23.9,21.4,22.0,11.4,21.4,79.9,11.3,0.7,2.8,1.3,3.9,23.4,11520.0,77.3,16.3,6.1,0.4,7.1
8517,Caldwell,Donald Trump,TX,39347.0,19907.0,19440.0,49.1,42.5,6.9,0.1,0.2,0.1,27699.0,47233.0,2036.0,20667.0,975.0,19.3,24.3,24.1,22.4,23.4,14.4,15.7,78.1,13.8,0.2,2.7,2.3,3.0,30.7,16693.0,74.7,18.6,6.7,0.1,5.2
8521,Dillon,Hillary Clinton,SC,31435.0,14878.0,16557.0,2.5,46.8,45.7,2.5,0.2,0.0,22782.0,28938.0,3514.0,14736.0,752.0,33.9,52.8,18.7,18.5,24.6,12.8,25.4,77.0,17.9,0.8,1.3,1.0,1.9,24.5,10805.0,80.0,15.6,4.3,0.1,13.2
8528,Starr,Hillary Clinton,TX,62648.0,30368.0,32280.0,98.7,0.9,0.0,0.0,0.1,0.0,27720.0,26172.0,2076.0,12483.0,959.0,36.6,45.1,21.6,30.6,18.0,17.4,12.4,68.6,20.5,0.3,4.5,1.4,4.6,22.9,21006.0,68.2,22.5,8.6,0.6,13.8
8532,Dawson,Donald Trump,GA,22673.0,11244.0,11429.0,3.9,93.0,0.6,0.2,0.5,0.0,17363.0,56943.0,3447.0,28832.0,2077.0,14.2,16.2,32.2,13.7,26.2,13.5,14.3,78.6,12.7,0.1,0.3,0.6,7.7,32.3,9787.0,80.6,11.7,7.4,0.3,8.5
8535,Codington,Donald Trump,SD,27750.0,13969.0,13781.0,1.9,93.5,0.4,2.5,0.2,0.0,20871.0,48912.0,1934.0,26767.0,1673.0,10.3,9.1,25.4,17.6,25.9,11.4,19.7,82.7,9.5,0.2,1.7,1.1,4.8,14.3,15575.0,82.2,11.7,6.0,0.1,2.9
8539,Ellis,Donald Trump,KS,28993.0,14452.0,14541.0,5.5,90.5,1.1,0.2,1.3,0.2,22266.0,45579.0,2813.0,26098.0,1322.0,15.6,12.7,32.1,18.6,27.2,10.8,11.3,85.5,7.7,0.4,3.2,0.6,2.7,12.7,16045.0,74.8,18.0,7.0,0.2,4.5
8543,Geneva,Donald Trump,AL,26815.0,13174.0,13641.0,3.6,84.0,8.7,0.3,1.2,0.0,20334.0,36024.0,2022.0,20224.0,1298.0,23.2,40.2,23.9,17.8,22.5,19.9,16.0,81.8,12.0,0.0,0.9,1.8,3.4,25.8,10419.0,75.7,15.0,8.8,0.4,11.2
8547,Edgefield,Donald Trump,SC,26466.0,14234.0,12232.0,5.6,56.3,36.5,0.2,0.3,0.0,20318.0,46637.0,2684.0,21723.0,1103.0,16.4,22.3,27.5,16.5,20.4,15.2,20.4,82.3,12.1,0.9,1.0,1.4,2.4,25.8,10099.0,75.0,17.5,7.4,0.1,8.9
8554,Lamoille,Hillary Clinton,VT,25027.0,12439.0,12588.0,1.5,95.0,0.7,0.6,0.5,0.0,19138.0,50939.0,2513.0,27390.0,1545.0,11.8,17.6,37.0,21.4,20.1,12.7,8.9,78.9,8.4,0.4,4.8,1.8,5.8,25.5,13147.0,77.0,12.2,10.5,0.3,4.3
8560,Crook,Donald Trump,OR,20956.0,10352.0,10604.0,7.4,88.8,0.3,0.9,0.3,0.1,16560.0,37106.0,3149.0,21496.0,1310.0,19.4,28.2,22.3,25.2,26.0,9.6,16.9,79.8,9.0,0.0,3.8,1.4,6.0,21.3,8014.0,74.7,15.1,10.0,0.1,13.5
