,county,state,totalpop,income,professional,service,office,drive,carpool,transit,workathome,meancommute,unemployment,party,perc_men,perc_white,perc_private_work,perc_citizen,perc_employed
1756,Grand,CO,14411.0,63628.0,0.33899999999999997,0.193,0.193,0.6459999999999999,0.168,0.022000000000000002,0.094,0.198,0.057,R,0.5335507598362362,0.8943089430894308,0.811,0.7807924502116439,0.5741447505377837
1757,Crawford,IL,19541.0,47468.0,0.281,0.162,0.209,0.838,0.11,0.003,0.022000000000000002,0.166,0.068,R,0.5157361445166573,0.9373072970195273,0.8059999999999999,0.7944833938897702,0.4282790031216417
1758,Holmes,FL,19635.0,35020.0,0.257,0.244,0.225,0.8490000000000001,0.10300000000000001,0.003,0.027000000000000003,0.3,0.154,R,0.5348102877514642,0.8944672131147541,0.7150000000000001,0.7828367710720652,0.31158645276292335
1759,Clark,AR,22751.0,35031.0,0.35,0.21100000000000002,0.22399999999999998,0.792,0.107,0.004,0.043,0.215,0.084,R,0.4740890510307239,0.7051671732522797,0.7317317317317318,0.789723528636104,0.429871214452112
1760,Kossuth,IA,15280.0,51496.0,0.34,0.156,0.207,0.828,0.061,0.003,0.049,0.15,0.021,R,0.4992801047120419,0.9726720647773279,0.746,0.7716623036649215,0.5096858638743456
1761,Madison,FL,18729.0,32164.0,0.301,0.17,0.22399999999999998,0.7390000000000001,0.133,0.0,0.036000000000000004,0.27699999999999997,0.11800000000000001,R,0.5269368359229003,0.5532994923857867,0.675,0.7782049228469219,0.32788723370174594
1762,Washington,AL,16997.0,42811.0,0.203,0.152,0.196,0.804,0.16,0.0,0.013000000000000001,0.326,0.2,R,0.4994999117491322,0.6526526526526526,0.7747747747747747,0.7629581690886627,0.3327646055186209
1763,Patrick,VA,18264.0,33982.0,0.259,0.16899999999999998,0.175,0.862,0.08,0.003,0.024,0.272,0.083,R,0.4928274200613228,0.9054325955734406,0.776,0.8039312308366184,0.3816798072711345
1764,Dawson,NE,24069.0,48329.0,0.231,0.14800000000000002,0.179,0.747,0.17600000000000002,0.001,0.035,0.161,0.048,R,0.5044663259794757,0.6211055276381909,0.805,0.6245377871951473,0.5115293531098093
1765,Colorado,TX,20757.0,46618.0,0.29,0.16899999999999998,0.204,0.872,0.078,0.011000000000000001,0.018000000000000002,0.214,0.042,R,0.49289396348219877,0.5821643286573147,0.7260000000000001,0.7313677313677314,0.44173050055402996
