totalpop,income,service,office,drive,carpool,transit,workathome,meancommute,unemployment,perc_men,perc_white,perc_private_work,perc_citizen,party
758919.0,55044.0,0.218,0.214,0.408,0.069,0.325,0.034,0.302,0.087,0.4832755537811018,0.4813664596273292,0.8448448448448449,0.6835314440671534,0
791609.0,53976.0,0.2,0.239,0.616,0.087,0.206,0.031,0.336,0.13,0.48031540823815794,0.3278520041109969,0.799,0.6394179449703074,0
821952.0,59953.0,0.183,0.247,0.787,0.097,0.034,0.043,0.298,0.092,0.4966336233746009,0.7350427350427351,0.759,0.7182305049443276,0
716331.0,51376.0,0.168,0.24,0.722,0.109,0.081,0.055,0.314,0.113,0.4765422688673253,0.3039918116683726,0.8051948051948051,0.6737848843621175,0
680905.0,46869.0,0.185,0.259,0.8190000000000001,0.081,0.024,0.042,0.23,0.076,0.48361665724293396,0.6454265159301129,0.8270000000000001,0.7282278731981701,0
702898.0,78026.0,0.153,0.255,0.773,0.079,0.043,0.061,0.297,0.079,0.4988746589121039,0.6510204081632652,0.847,0.6521643254071003,0
731851.0,75050.0,0.146,0.266,0.809,0.093,0.01,0.062,0.281,0.057,0.4920564431831069,0.6382322713257965,0.8228228228228228,0.6599184806743449,1
683995.0,76101.0,0.158,0.253,0.8390000000000001,0.062,0.039,0.04,0.326,0.078,0.4965080154094694,0.6693877551020408,0.8520000000000002,0.6765780451611488,0
659026.0,45610.0,0.17,0.252,0.8490000000000001,0.093,0.009000000000000001,0.025,0.236,0.091,0.4727901478849089,0.5161943319838057,0.8081918081918081,0.7438371172002318,0
984178.0,74460.0,0.212,0.251,0.64,0.147,0.084,0.037000000000000005,0.282,0.056,0.5061371012154305,0.2392638036809816,0.7207207207207208,0.7104781858566235,0
561683.0,65123.0,0.172,0.251,0.737,0.071,0.104,0.04,0.28300000000000003,0.08199999999999999,0.4798293699471054,0.7061224489795919,0.8530000000000001,0.7354789089219363,0
626676.0,43162.0,0.21,0.256,0.8170000000000001,0.103,0.005,0.04,0.257,0.106,0.4899134480975815,0.6371049949031601,0.8260000000000001,0.7168488979951363,1
830300.0,79593.0,0.14,0.243,0.731,0.084,0.095,0.038,0.329,0.075,0.4918390943032639,0.4694501018329939,0.8301698301698303,0.6400999638684812,0
1078958.0,62117.0,0.149,0.275,0.753,0.12,0.037000000000000005,0.049,0.223,0.058,0.5021798809592217,0.7459016393442623,0.8210000000000001,0.6442817978086265,0
608310.0,63265.0,0.165,0.261,0.7809999999999999,0.085,0.047,0.059,0.274,0.07200000000000001,0.4916950239187257,0.6438923395445134,0.8260000000000001,0.6762292252305568,0
647484.0,70848.0,0.152,0.174,0.337,0.057,0.374,0.05,0.297,0.096,0.4736395030610795,0.36475409836065575,0.7007007007007007,0.7492324134650431,0
840763.0,81294.0,0.17,0.205,0.359,0.073,0.331,0.069,0.317,0.068,0.5089531770546516,0.42961418143899893,0.799,0.7358435135704117,0
566814.0,76113.0,0.125,0.252,0.855,0.071,0.004,0.054000000000000006,0.21,0.045,0.4892786698987675,0.8316221765913757,0.838,0.7025849749653326,1
754480.0,47437.0,0.179,0.252,0.823,0.11,0.005,0.034,0.207,0.06,0.489227017283427,0.6126984126984127,0.7859999999999999,0.6759529742339094,1
673943.0,47725.0,0.199,0.235,0.799,0.094,0.018000000000000002,0.041,0.21600000000000005,0.084,0.49051329266718396,0.4130879345603272,0.7407407407407408,0.7071325023036072,0
527411.0,56104.0,0.172,0.23,0.742,0.094,0.063,0.051,0.234,0.071,0.4859360157448366,0.6694300518134715,0.818,0.7027934570951307,0
509797.0,85976.0,0.135,0.228,0.8,0.067,0.028,0.063,0.277,0.059,0.4917074835669884,0.8229908443540184,0.8590000000000001,0.7164224191197672,0
503681.0,75459.0,0.193,0.25,0.812,0.071,0.051,0.039,0.325,0.079,0.4870880577190722,0.8599585062240666,0.8081918081918081,0.7399087914771453,0
549643.0,65476.0,0.173,0.246,0.8,0.083,0.043,0.041,0.255,0.07400000000000001,0.4837958456670967,0.6114519427402862,0.8450000000000001,0.7250815529352689,0
658331.0,89152.0,0.124,0.236,0.823,0.097,0.017,0.045,0.32,0.051,0.491345538946214,0.3584521384928717,0.8161838161838162,0.6106730504867612,0
503719.0,41117.0,0.211,0.276,0.812,0.087,0.009000000000000001,0.05,0.253,0.091,0.4873371860104542,0.7517802644964395,0.818,0.7866905953517735,1
